Documento 0:
Índice	Término			TF	IDF	TF-IDF
104	tannic			0	1.00000	0.00000	
105	rustic			0	1.00000	0.00000	
106	earthy			0	1.00000	0.00000	
107	herbal			0	0.69897	0.00000	
108	characteristics		0	1.00000	0.00000	
109	nonetheless		0	1.00000	0.00000	
110	if			0	1.00000	0.00000	
111	you			0	1.00000	0.00000	
112	think			0	1.00000	0.00000	
113	pleasantly		0	1.00000	0.00000	
114	unfussy			0	1.00000	0.00000	
115	country			0	1.00000	0.00000	
116	good			0	1.00000	0.00000	
117	companion		0	1.00000	0.00000	
118	hearty			0	1.00000	0.00000	
119	winter			0	1.00000	0.00000	
120	stew			0	1.00000	0.00000	
121	blackberry		0	1.00000	0.00000	
122	raspberry		0	1.00000	0.00000	
123	show			0	1.00000	0.00000	
124	typical			0	1.00000	0.00000	
125	navarran		0	1.00000	0.00000	
126	whiff			0	1.00000	0.00000	
127	herbs			0	1.00000	0.00000	
128	in			0	0.52288	0.00000	
129	case			0	1.00000	0.00000	
130	horseradish		0	1.00000	0.00000	
131	mouth			0	1.00000	0.00000	
132	fairly			0	1.00000	0.00000	
133	full			0	1.00000	0.00000	
134	bodied			0	1.00000	0.00000	
135	tomatoey		0	1.00000	0.00000	
136	spicy			0	1.00000	0.00000	
137	complement		0	1.00000	0.00000	
138	dark			0	1.00000	0.00000	
139	plum			0	1.00000	0.00000	
140	fresh			0	0.39794	0.00000	
141	but			0	1.00000	0.00000	
142	grabby			0	1.00000	0.00000	
143	here's			0	1.00000	0.00000	
144	bright			0	1.00000	0.00000	
145	informal		0	1.00000	0.00000	
146	opens			0	1.00000	0.00000	
147	candied			0	1.00000	0.00000	
148	white			0	1.00000	0.00000	
149	pepper			0	1.00000	0.00000	
150	savory			0	0.69897	0.00000	
151	carry			0	1.00000	0.00000	
152	over			0	1.00000	0.00000	
153	balanced		0	0.52288	0.00000	
154	soft			0	1.00000	0.00000	
155	dry			0	0.69897	0.00000	
156	restrained		0	1.00000	0.00000	
157	offers			0	1.00000	0.00000	
158	spice			0	0.69897	0.00000	
159	profusion		0	1.00000	0.00000	
160	texture			0	0.69897	0.00000	
161	very			0	1.00000	0.00000	
162	for			0	1.00000	0.00000	
163	food			0	1.00000	0.00000	
164	thyme			0	1.00000	0.00000	
165	accent			0	1.00000	0.00000	
